Tipo,Género,Título,Mes,Año,ID_IMDB
Movie,Comedy,This Wretched Life,7,2010,tt0331312
Movie,Comedy,Anderson's Cross,5,2010,tt0393049
Movie,Comedy,Rapunzel,12,2010,tt0398286
Movie,Comedy,Venus & Vegas,11,2010,tt0423474
Movie,Comedy,Dinner for Schmucks,8,2010,tt0427152
Movie,Comedy,Toy Story 3,6,2010,tt0435761
Movie,Comedy,Diary of a Bad Lad,2,2010,tt0449005
Movie,Comedy,Scott Pilgrim vs. the World,11,2010,tt0446029
Movie,Comedy,El hada buena - Una fábula peronista,4,2010,tt0454155
Movie,Comedy,Piranha 3D,9,2010,tt0464154
Movie,Comedy,Harlem Hostel,2,2010,tt0469094
Movie,Comedy,Barry Munday,3,2010,tt0482461
Movie,Comedy,PrimeMates,1,2010,tt0490199
Movie,Comedy,Ramona and Beezus,7,2010,tt0493949
Movie,Comedy,Furry Vengeance,7,2010,tt0492389
Movie,Comedy,Love & Other Drugs,1,2011,tt0758752
Movie,Comedy,Waste of Space,4,2010,tt0765485
Movie,Comedy,It's Kind of a Funny Story,10,2010,tt0804497
Movie,Comedy,Tooth Fairy,1,2010,tt0808510
Movie,Comedy,Plumíferos - Aventuras voladoras,2,2010,tt0811021
Movie,Comedy,She's Out of My League,6,2010,tt0815236
Movie,Comedy,Valentine's Day,2,2010,tt0817230
Movie,Comedy,Flipped,9,2010,tt0817177
Movie,Comedy,Return to Yucca Flats: Desert Man-Beast,1,2010,tt0826532
Movie,Comedy,The Kids Are All Right,12,2010,tt0842926
Movie,Comedy,Gangster Exchange,2,2010,tt0846004
Movie,Comedy,2001 Maniacs: Field of Screams,2,2010,tt0858411
Movie,Comedy,Wide Blue Yonder,5,2012,tt0858500
Movie,Comedy,Zenitram,5,2010,tt0861747
Movie,Comedy,Please Give,7,2010,tt0878835
Movie,Comedy,AIR: The Musical,4,2010,tt0882741
Movie,Comedy,The Switch,10,2010,tt0889573
Movie,Comedy,Letters to Juliet,6,2010,tt0892318
Movie,Comedy,Shrek Forever After,7,2010,tt0892791
Movie,Comedy,How to Train Your Dragon,3,2010,tt0892769
Movie,Comedy,Movin' In,8,2010,tt0910926
Movie,Comedy,Jackboots on Whitehall,10,2010,tt0915463
Movie,Comedy,De gelukkige huisvrouw,4,2010,tt0920459
Movie,Comedy,The Penthouse,3,2010,tt0929618
Movie,Comedy,Private Security Officer: Los Angeles,12,2010,tt0960827
Movie,Comedy,Pushin' Up Daisies,6,2010,tt0964544
Movie,Comedy,L'imbroglio nel lenzuolo,6,2010,tt0965429
Movie,Comedy,The Chosen One,9,2010,tt0970926
Movie,Comedy,Little Fockers,12,2010,tt0970866
Movie,Comedy,Lottery Ticket,8,2010,tt0979434
Movie,Comedy,Multiple Sarcasms,4,2010,tt0984210
Movie,Comedy,Adventure Scouts,10,2010,tt0994917
Short,Comedy,Mundo de locos,1,2010,tt10010264
Movie,Comedy,Megamind,12,2010,tt1001526
Short,Comedy,Noise Pollution,5,2010,tt10090812
Short,Comedy,I Smell Dead People,10,2010,tt10120528
Movie,Comedy,Knight and Day,7,2010,tt1013743
Movie,Comedy,Dylan Dog: Dead of Night,4,2011,tt1013860
Short,Comedy,The Killer,9,2010,tt10213300
Short,Comedy,Lonely Girl,12,2010,tt10219038
Movie,Comedy,Piel de Lija,5,2010,tt10229082
Short,Comedy,Now! That's What I Call Dad,2,2010,tt10229380
Short,Comedy,Escuela,11,2010,tt10257026
Short,Comedy,Incomplete Chronicles Of A Folk Tale,4,2010,tt10254972
Short,Comedy,The Misunderstanding,5,2010,tt10262012
Short,Comedy,Kiss Fight,8,2010,tt10262024
Short,Comedy,Fowler and The Z Retro,7,2010,tt10277992
Short,Comedy,Connection Jam,7,2010,tt10309930
Short,Comedy,Deliciae,6,2010,tt10314554
Short,Comedy,Oh Arizona,5,2010,tt10365350
Short,Comedy,P00P,10,2010,tt10368628
Short,Comedy,Resident Girls Apocalypse,4,2010,tt10384210
Movie,Comedy,The Bounty Hunter,4,2010,tt1038919
Short,Comedy,Bucco Faciale,9,2010,tt10400156
Movie,Comedy,Let the Game Begin,1,2010,tt1041778
Short,Comedy,Cookie,4,2010,tt10447544
Short,Comedy,Tontine,9,2010,tt10456858
Short,Comedy,Upper Cut: Alright,3,2010,tt10457304
Short,Comedy,While You Were Evicted,7,2010,tt10470758
Short,Comedy,Why Me?,7,2010,tt10470914
Movie,Comedy,Aaj Kal,2,2010,tt1047439
Short,Comedy,She is The One,5,2010,tt10484408
Short,Comedy,Hospital Break,7,2010,tt10493072
Movie,Comedy,House Broken,7,2011,tt1054631
Movie,Comedy,As Melhores Coisas do Mundo,4,2010,tt1054677
Movie,Comedy,Life as We Know It,10,2010,tt1055292
Short,Comedy,Lego Batman: The Ridiculous Cape,8,2010,tt10567834
Short,Comedy,Chasing Gaga,6,2010,tt10585036
Short,Comedy,Linda Must Die,3,2010,tt10585068
Short,Comedy,Metamorrisphosis,11,2010,tt10585080
Movie,Comedy,Spud,12,2010,tt1059969
Short,Comedy,The Zamburger Effect,10,2010,tt10660468
Movie,Comedy,For Christ's Sake,12,2011,tt1067107
Movie,Comedy,The Vampires of Zanzibar,1,2010,tt1067090
Short,Comedy,A Light That Never Fades,12,2010,tt10679760
Movie,Comedy,Quincas Berro d'Água,5,2010,tt1068962
