Tipo,Género,Título,Mes,Año,ID_IMDB
Movie,Drama,Pál Adrienn,6,2011,tt0146592
Movie,Drama,Oda az igazság,2,2010,tt0154039
Movie,Drama,A zöld sárkány gyermekei,4,2011,tt0162942
Movie,Drama,The Final Journey,9,2010,tt0230212
Movie,Drama,In My Sleep,4,2010,tt0326965
Movie,Drama,This Wretched Life,7,2010,tt0331312
Short,Drama,Death of a Nation,6,2010,tt0370451
Movie,Drama,Anderson's Cross,5,2010,tt0393049
Movie,Drama,Den milde smerte,5,2014,tt0396123
Movie,Drama,Utomlennye solntsem 2,4,2010,tt0403645
Movie,Drama,Tekken,3,2010,tt0411951
Movie,Drama,Disconnect,8,2010,tt0419692
Movie,Drama,Milenge Milenge,7,2010,tt0443331
Movie,Drama,Les 7 jours du talion,11,2010,tt0445054
Movie,Drama,Vidas pequeñas,3,2011,tt0444531
Movie,Drama,Dream Street,1,2010,tt0446686
Movie,Drama,Mad World,8,2010,tt0451108
Movie,Drama,El hada buena - Una fábula peronista,4,2010,tt0454155
Movie,Drama,Memorias del desarrollo,11,2011,tt0457591
Movie,Drama,Drunkboat,6,2013,tt0460778
Movie,Drama,Federal,10,2010,tt0463311
Movie,Drama,Harlem Hostel,2,2010,tt0469094
Movie,Drama,Cielito lindo,6,2010,tt0473343
Movie,Drama,Barry Munday,3,2010,tt0482461
Movie,Drama,Bandeiji,1,2010,tt0482459
Movie,Drama,PrimeMates,1,2010,tt0490199
Movie,Drama,Ramona and Beezus,7,2010,tt0493949
Movie,Drama,O Inimigo Sem Rosto,8,2010,tt0495037
Movie,Drama,Love & Other Drugs,1,2011,tt0758752
Movie,Drama,King of the Avenue,9,2010,tt0770778
Movie,Drama,Night Catches Us,12,2010,tt0775543
Movie,Drama,L'illusionniste,7,2010,tt0775489
Movie,Drama,El cielo elegido,9,2012,tt0774519
Movie,Drama,The Wolfman,2,2010,tt0780653
Movie,Drama,The First Grader,8,2011,tt0790663
Movie,Drama,13,6,2011,tt0798817
Movie,Drama,Nemesis,10,2010,tt0800353
Movie,Drama,It's Kind of a Funny Story,10,2010,tt0804497
Movie,Drama,Ashes,9,2010,tt0815101
Movie,Drama,Flipped,9,2010,tt0817177
Movie,Drama,The Kids Are All Right,12,2010,tt0842926
Movie,Drama,The Town,10,2010,tt0840361
Movie,Drama,Risen,5,2011,tt0850709
Movie,Drama,Bloudím,10,2010,tt0852939
Movie,Drama,Kolorádó Kid,10,2010,tt0856796
Movie,Drama,Wide Blue Yonder,5,2012,tt0858500
Movie,Drama,"Surprise, Surprise",8,2010,tt0871893
Movie,Drama,Please Give,7,2010,tt0878835
Movie,Drama,Eat Pray Love,10,2010,tt0879870
Movie,Drama,Kavod,5,2010,tt0887751
Movie,Drama,The Switch,10,2010,tt0889573
Movie,Drama,Letters to Juliet,6,2010,tt0892318
Movie,Drama,The Whistleblower,11,2011,tt0896872
Movie,Drama,Acts of Violence,5,2010,tt0902247
Movie,Drama,Eager to Die,7,2010,tt0907731
Movie,Drama,Proie,7,2011,tt0907305
Movie,Drama,Unthinkable,7,2010,tt0914863
Movie,Drama,De gelukkige huisvrouw,4,2010,tt0920459
Movie,Drama,Truth About Kerry,3,2012,tt0923954
Movie,Drama,"Glenn, the Flying Robot",7,2011,tt0934446
Movie,Drama,The Waiter,3,2010,tt0934981
Movie,Drama,Rabbit Hole,4,2011,tt0935075
Movie,Drama,Green Zone,4,2010,tt0947810
Movie,Drama,Black Swan,2,2011,tt0947798
Movie,Drama,The Killer Inside Me,10,2010,tt0954947
Movie,Drama,Robin Hood,5,2010,tt0955308
Movie,Drama,Heart of Now,6,2010,tt0960067
Movie,Drama,Dom Solntsa,4,2010,tt0962764
Movie,Drama,The Fighter,3,2011,tt0964517
Movie,Drama,The Conspirator,8,2011,tt0968264
Movie,Drama,The Chosen One,9,2010,tt0970926
Movie,Drama,La razón,4,2011,tt0970955
Movie,Drama,The Land of the Astronauts,10,2010,tt0974584
Movie,Drama,Sinatra Club,9,2010,tt0975738
Movie,Drama,Fair Game,11,2010,tt0977855
Movie,Drama,Multiple Sarcasms,4,2010,tt0984210
Movie,Drama,A Flat,11,2010,tt0988655
Movie,Drama,Dear John,3,2010,tt0989757
Movie,Drama,The Experiment,8,2010,tt0997152
Movie,Drama,Bibliothèque Pascal,3,2010,tt0997035
Short,Drama,Catarsis Bioépica,12,2010,tt10016514
Movie,Drama,Opal,10,2010,tt1008015
Movie,Drama,Love Sick Diaries,9,2012,tt1010270
Short,Drama,Hotel Astur,12,2010,tt10107628
Short,Drama,What Fall Became,12,2010,tt10162866
Short,Drama,¿Lobo está?,5,2010,tt10166774
Movie,Drama,The Runaways,11,2010,tt1017451
Movie,Drama,Woyzeck 2010,6,2010,tt10195742
Movie,Drama,Patagonia,3,2011,tt1020559
Movie,Drama,Centurion,5,2010,tt1020558
Movie,Drama,Copie conforme,8,2010,tt1020773
Short,Drama,Halos & Rainbows,3,2010,tt10217420
Movie,Drama,The Way Back,1,2011,tt1023114
Movie,Drama,What About Cuba?,11,2010,tt10240942
Short,Drama,8 Butterflies,5,2010,tt1024702
Short,Drama,Incomplete Chronicles Of A Folk Tale,4,2010,tt10254972
Short,Drama,Awdah,4,2010,tt10261192
Movie,Drama,Wall Street: Money Never Sleeps,9,2010,tt1027718
Short,Drama,The Price of Silence,4,2010,tt10282102
Movie,Drama,Secretariat,10,2010,tt1028576
Short,Drama,Prete moi le feu,10,2010,tt10300940
Short,Drama,Citizen Cube,6,2010,tt10317960
Movie,Drama,Jai Balaji Mehndipur Wale,1,2010,tt10323662
Short,Drama,Leaving Sunnyfield,7,2010,tt10333830
Movie,Drama,Az ember tragédiája,12,2011,tt0176694
Movie,Drama,Los pájaros se van con la muerte,6,2011,tt0247643
Movie,Drama,The Wicker Tree,7,2011,tt0323808
Movie,Drama,Spy,8,2011,tt0372538
Movie,Drama,The Rum Diary,12,2011,tt0376136
Movie,Drama,Seven Fallen Objects,5,2011,tt0407194
Movie,Drama,Real Steel,11,2011,tt0433035
Movie,Drama,Satin,3,2011,tt0433397
Movie,Drama,A Bird of the Air,9,2011,tt0448022
Movie,Drama,Generation P,4,2011,tt0459748
Movie,Drama,The Grasslands,12,2012,tt0460809
Movie,Drama,Silent Alarm,1,2011,tt0462536
Movie,Drama,Act Your Age,4,2011,tt0464891
Movie,Drama,Margaret,6,2012,tt0466893
Movie,Drama,Platinum Illusions,6,2011,tt0469158
Movie,Drama,The Pack,10,2011,tt0469152
Movie,Drama,Extremely Loud & Incredibly Close,3,2012,tt0477302
Movie,Drama,The Tree of Life,6,2011,tt0478304
Movie,Drama,Atlas Shrugged: Part I,4,2011,tt0480239
Movie,Drama,Gente mala del norte,2,2011,tt0484037
Movie,Drama,Something Borrowed,6,2011,tt0491152
Movie,Drama,California Indian,11,2011,tt0770728
Movie,Drama,Drive,11,2011,tt0780504
Movie,Drama,Wilde Salomé,4,2017,tt0795459
Movie,Drama,Red Dog,8,2011,tt0803061
Movie,Drama,The King Hector Lavoe,2,2011,tt0811069
Movie,Drama,Take Me Home Tonight,3,2011,tt0810922
Movie,Drama,Shanghai Hotel,1,2014,tt0816648
Movie,Drama,Où va la nuit,5,2011,tt0825282
Movie,Drama,Loot,11,2011,tt0847180
Movie,Drama,Mama I Want to Sing,1,2011,tt0880569
Movie,Drama,Sanctum,3,2011,tt0881320
Movie,Drama,From Prada to Nada,1,2011,tt0893412
Movie,Drama,The Key Man,2,2013,tt0899154
Movie,Drama,Black Butterflies,3,2011,tt0906778
Movie,Drama,Source Code,6,2011,tt0945513
Movie,Drama,Hugo,2,2012,tt0970179
Movie,Drama,Funkytown,3,2011,tt0981286
Movie,Drama,Hanna,4,2011,tt0993842
Movie,Drama,Straw Dogs,9,2011,tt0999913
Short,Drama,Protest Bullying,8,2011,tt10027296
Short,Drama,Death Point,9,2011,tt10050610
