"nombre","año_nacimiento","que_hace","conocido_por","premios","ID_IMDB"
"Al Bianchi","NULL","['Reparto', 'Dirección de casting', 'Reparto']","['su papel en Yo, Tonya', 'The Red, Black and Blonde: God $ave', 'Velma Is Living']","NULL","tt1800301"
"Thomas Brown","NULL","['Reparto', 'Reparto']","['su papel en The Red, Black and Blonde: God $ave']","NULL","tt1800301"
"Gerry Cheney","NULL","['Reparto', 'Reparto']","['su papel en The Red, Black and Blonde: God $ave', 'Corruption']","NULL","tt1800301"
"Rabbit Duran","NULL","['Reparto', 'Reparto']","['su papel en The Red, Black and Blonde: God $ave']","NULL","tt1800301"
"Chelsey Green","NULL","['Reparto', 'Reparto']","['su papel en The Red, Black and Blonde: God $ave', 'Bed Time Ghost Tales']","NULL","tt1800301"
"Kevin Grogen","NULL","['Reparto', 'Reparto']","['su papel en The Red, Black and Blonde: God $ave']","NULL","tt1800301"
"Elizabeth Hoots","NULL","['Reparto', 'Cámara y electricidad', 'Reparto']","['su papel en The Red, Black and Blonde: God $ave', 'Wet Behind the Ears', 'Bleed']","NULL","tt1800301"
"Laurence Love","NULL","['Sonido', 'Reparto', 'Sonido']","['su papel en The Red, Black and Blonde: God $ave', 'Billy Bates']","NULL","tt1800301"
"Josh Miley","NULL","['Reparto', 'Reparto']","['su papel en The Red, Black and Blonde: God $ave']","NULL","tt1800301"
"Dennis Haladyn","NULL","['Reparto', 'Especialistas', 'Guion']","['su papel en Tell Me Your Secret', 'Enter the Cowboy', 'Westbrick Murders']","['Action on Film International Film Festival, USA 2017 Nominado Action on Film Award Best Foreign Film - Short Enter the Cowboy Compartido con: Jack Hansen 2017 Nominado Action on Film Award Best Western Enter the Cowboy Compartido con: Jack Hansen 2012 Nominado Action on Film Award Best Supporting Actor Små mænd', 'CPH PIX 2016 Ganador Movie Battle The Shoot Out Award Enter the Cowboy Compartido con: Jack Hansen 2012 Nominado Movie Battle Best Acting Performance Supernatural Tales', 'Berlin Short Film Festival 2017 Ganador Jury Prize Best Comedy Short Film Enter the Cowboy Compartido con: Jack Hansen', '60 Seconds Festival 2014 Ganador Audience Award Tell Me Your Secret Compartido con: Daniel Urhøj', 'Contribuir a esta página Sugerir un cambio o añadir el contenido que falta Consulta nuestra guía para actualizar los premios Más información acerca de cómo contribuir']","tt1847719"
"David Sakurai","NULL","['Reparto', 'Producción', 'Guion']","['Animales fantásticos: Los crímenes de Grindelwald', 'Avatar: La leyenda de Aang', 'El hombre en el castillo']","['Action on Film International Film Festival, USA 2014 Nominado Action on Film Award Male Action Performer of the Year Echoes of a Ronin 2014 Nominado Action on Film Award Breakout Action Star - Male - Short Echoes of a Ronin 2010 Ganador Action on Film Award Breakout Action Star - Male - Short Eastern Army', 'CPH PIX 2012 Nominado Movie Battle Best Acting Performance Supernatural Tales 2010 Ganador Movie Battle Best Actor Eastern Army', 'Los Angeles New Wave International Film Festival, US 2011 Ganador Short Film Award Best Stunts Eastern Army Compartido con: Philip Th. Pedersen', 'American International Film Festival, San Gabriel 2010 Nominado AIFF Award Best Actor Eastern Army', 'Nightmares Film Festival 2017 Nominado Nightmares Film Festival Award Best Actor Feature Le Accelerator']","tt1847719"
"Daniell Edwards","1980","['Reparto', 'Especialistas', 'Producción']","['Ud af mørket', 'Westbrick Murders', 'Pistoleros']","NULL","tt1847719"
"Maja Muhlack","1977","['Reparto', 'Producción', 'Reparto']","['Westbrick Murders', 'One Hell of a Christmas', 'The Horror Vault']","NULL","tt1847719"
"Hector Vega Mauricio","1965","['Reparto', 'Producción', 'Dirección']","['Supernatural Tales', 'Pistoleros', 'One Hell of a Christmas']","NULL","tt1847719"
"Ted Pappas","1953","['Reparto', 'Reparto']","['The Last Demon Slayer', 'Cuando un hombre vuelve a casa', 'Frihed på prøve']","NULL","tt1847719"
"Erik Holmey","1942","['Reparto', 'Reparto']","['Conan, el bárbaro', 'One Hell of a Christmas', 'Pistoleros']","NULL","tt1847719"
"London Albert","NULL","['Reparto', 'Guion', 'Edición']","['su papel en Martinelli a Star Wars Fan Story']","NULL","tt10270648"
"Jaleah Ivory","NULL","['Reparto', 'Producción', 'Reparto']","['su papel en Martinelli a Star Wars Fan Story']","NULL","tt10270648"
"Jamya Ivory","NULL","['Reparto', 'Producción', 'Reparto']","['su papel en Martinelli a Star Wars Fan Story']","NULL","tt10270648"
"Erik Martinelli","NULL","['Reparto', 'Reparto']","['su papel en Martinelli a Star Wars Fan Story', 'Undead Radio']","NULL","tt10270648"
"Michelle Martinelli","NULL","['Reparto', 'Reparto']","['su papel en Martinelli a Star Wars Fan Story', 'Undead Radio']","NULL","tt10270648"
"Vincent Martinelli","NULL","['Reparto', 'Producción', 'Reparto']","['su papel en The Adventures of Jackson Silo, Messy the Cat: The Movie y Martinelli a Star Wars Fan Story']","NULL","tt10270648"
"Jessica Williams","NULL","['Reparto', 'Reparto']","['su papel en Martinelli a Star Wars Fan Story']","NULL","tt10270648"
"Joshua Williams","NULL","['Dirección', 'Reparto', 'Guion']","['su papel en Judge Jhorts', 'Dr']","NULL","tt10270648"
"Fernando Rocha","1975","['Reparto', 'Guion', 'Reparto']","['Balas & Bolinhos: O Último Capítulo', 'Maré Alta', 'Balas & Bolinhos - O Regresso']","NULL","tt14991492"
"João Seabra","NULL","['Reparto', 'Guion', 'Reparto']","['su papel en 2 Duros de Roer', 'Balas & Bolinhos: O Último Capítulo', 'Do Outro Lado do Tejo']","NULL","tt14991492"
"Mafalda Luís de Castro","1989","['Reparto', 'Reparto']","['Lua Vermelha', 'Ana y los siete', '2 Duros de Roer']","NULL","tt14991492"
"Melânia Gomes","NULL","['Reparto', 'Reparto']","['su papel en Maré Alta', 'A Impostora', 'Deixa Que Te Leve']","NULL","tt14991492"
"Susana Cacela","NULL","['Reparto', 'Reparto']","['su papel en Maré Alta', 'Mar Salgado', '2 Duros de Roer']","NULL","tt14991492"
"Jorge Mourato","1974","['Reparto', 'Reparto']","['Bem-Vindos a Beirais', 'Laços de Sangue', 'País Irmão']","NULL","tt14991492"
"Aldo Lima","NULL","['Reparto', 'Guion', 'Reparto']","['su papel en Conexão', 'Arte de Roubar', 'Miss Beijo']","NULL","tt14991492"
"Francisco Menezes","1973","['Reparto', 'Guion', 'Producción']","['Bad Investigate', 'Balas & Bolinhos: O Último Capítulo', '2 Duros de Roer']","NULL","tt14991492"
"Alexandre Santos","NULL","['Reparto', 'Reparto']","['su papel en 2 Duros de Roer']","NULL","tt14991492"
"Ken Duken","1979","['Reparto', 'Producción', 'Dirección']","['Max Manus', 'Malditos bastardos', 'Destino: La saga Winx']","['Grimme Award 2008 Ganador Adolf Grimme Award Fiction En otra Liga Compartido con: Buket Alakus · Jan Berger · Karoline Herfurth · Thierry van Werveke 2005 Ganador Adolf Grimme Award Fiction/Entertainment Kiss and Run Compartido con: Maggie Peren · Annette Ernst', 'Bavarian TV Awards 2017 Nominado Bavarian TV Award Best Actor in a Movie Made for Television (Bester Schauspieler - Fernsehspiel/Fernsehfilm) Tempel 2009 Ganador Bavarian TV Award Best Actor in a Movie Made for Television (Bester Schauspieler - Fernsehspiel/Fernsehfilm) Willkommen zuhause', 'German Television Awards 2017 Nominado German Television Award Best Actor (Bester Schauspieler) TempelDuelo de hermanos: La historia de Adidas y Puma', 'Max Ophüls Festival 2005 Nominado Best Short Film From Another Point of View Compartido con: Bernd Katzmarczyk', 'Monte-Carlo TV Festival 2011 Nominado Golden Nymph Mini-Series - Best Performance by an Actor Laconia, el hundimiento']","tt2363363"
"Dagny Dewath","1981","['Reparto', 'Reparto']","['Sturm der Liebe', 'Robin Hood', 'Professor T']","NULL","tt2363363"
