Pelicula_id,Nombre,Director,Guionista,Argumento,Duración,Puntuación_IMDb,Puntuación_Rotten
tt1800301,"The Red, Black and Blonde: God $ave",Dan Jimenez,Dan Jimenez,"A story about four Texas women from Austin who try to rob a convenience store located in West Texas. After a night of bitching and debauchery, will they be ready for their mission in the morning?",82,7.2,Null
tt1847719,The Last Demon Slayer,Shaky González,"Lars Christian Detlefsen, Shaky González",,No encontrado,9.3," 87"
tt10270648,Martinelli a Star Wars Fan Story,Joshua Williams,"London Albert, Joshua Williams",No encontrado,No encontrado,No encontrado,Null
tt14991492,2 Duros de Roer,Victor Santos,"Hugo Diogo, André Mateus, Fernando Rocha","An unlikely team of cops and a student, live a crazy day, meet the most ridiculous characters, and unmask a drug trafficking operation with disastrous consequences not just for the city, but for the whole world.",80,5.3," 44"
tt2363363,Robin Hood,Martin Schreier,"Martin Schreier, Florian Schumacher",,92,6.1," 14"
tt25402886,Xzee vs OTTWitt,Nathan Breackenridge,No encontrado,In this Xzee and OTTWitt Is in an all out war it doesn't matter brothers or not this is a match of a life time but nothing can stop them from doing this well we can only hope that everything goes to plan but who's knows God might have a different plan.,No encontrado,No encontrado,Null
tt26686370,Chhadke 2.0,Nigam Shrestha,Nigam Shrestha,"""Chhadke 2.0"" tells the story of a guy named Mendog, whose family gets killed by Gangsters of Manang while fetching YarsaGumba.",No encontrado,6.6," 55"
tt26749149,Payphone,Justin Cho,"Justin Cho, Yeelim Lee","After receiving consecutive calls from an unknown number for almost a week, Noah (Davin Broadhurst) and Claeg (Brandon Criswell) discover that the call has been coming from a retro payphone.",19,No encontrado," 72"
tt28600432,Cult Wars: Episode III - Sith Hits the Fan,Jerry Werdann,Jerry Werdann,The Gang from @tonythetoxicowl Wrap up the 1st trilogy in their retelling of how the force fell - as everything hits the fan!,No encontrado,No encontrado," 79"
tt11006570,La pièce rapportée,Antonin Peretjatko,"Antonin Peretjatko, Noëlle Renaude","Paul Château Têtard, 48, falls in love with a young woman working as a counter clerk in the subway. When he plans to marry her, his mother launches a private detective on her tracks to prove that she's cheating on her son.",86,5.5," 58"
tt15248456,Babbar,Amar Hundal,"Abdul Rafay Chandio, Amar Hundal, Ryan Khan","Jorawar, once a mobster, lost his parents as a consequence of the booming crime wave and now wishes to have an easy going life with his brother. But fate turned him into a gang lord Babbar.",125,6.1,Null
tt10039168,La vicina,Andrea Scala,No encontrado,The main character of the story is a young business woman who start to feel threatened by her new neighbor and possible competitor Harras.,5,No encontrado," 56"
tt2637906,Lurk,Vassilis Katsikis,Vassilis Katsikis,"During a stormy night, Ann is all alone in her villa. An intruder breaks in. Ann, in absolute terror, has to fight this mysterious creature, as well as to confront her husband and her own demented mind...",85,5.6,Null
tt15863566,Projekt Adler - Ein letzter Job,Tamim Kaiwani,Tamim Kaiwani,"Rammy and Danny want to get out, their last job: find the box. Hendriks and his system of hate seems invincible. Will freedom, love and change be enough to defeat evil?",100,No encontrado,Null
tt2048865,Operación AWOL-72,Christian Sesma,"Cecil Chambers, Christian Sesma","Un marine, en posesión de información secreta del Gobierno, es un hombre buscado, perseguido por operaciones especiales rusas, la policía de Los Ángeles y un peligroso asesino.",82,3.9," 28"
tt10048402,The Borrower,Nick Paul White,"Alex Bulger, Jacob Schatz, Nick Paul White",Two guys in need. One for advice on his love life. The other for Criterion Collection blu-rays. Can they both get what they want?,4,No encontrado," 30"
tt10021686,I Was Being Sarcastic,Colburn South,No encontrado,No encontrado,No encontrado,No encontrado," 71"
tt12833220,Crime Story,Anil Thomas,Suresh Krishna,Hari and Meera are close friends who work in an IT company. Their life takes a turn when one of their close friends gets murdered.,140,5.9," 20"
tt1646971,Cómo entrenar a tu dragón 2,Dean DeBlois,"Dean De, Blois, Cressida Cowell","Cuando Hipo y Desdentao descubren una cueva de hielo que alberga cientos de nuevos dragones salvajes y al misterioso jinete de dragones, los dos amigos se encuentran en el centro de una batalla para proteger la paz.",102,7.8," 92"
tt3036654,Fatal instinct (Por instinto),Luciano Saber,Luciano Saber,A police detective follows a trail of evidence that eventually seems to lead to his trusted partner's ex-con brother who he helped put in prison years ago.,90,4.4," 17"
